ID,Название (Title):,Описание( Summary):,Приоритет (Priority),Предусловия (Preconditions),Шаги (Steps to reproduce):,Ожидаемый результат (Expected result):,Фактический результат,Совпадение ожидаемого результата с фактическим да  / нет  ,Отметка о покрытии (если есть) / причина почему не может быть покрыт,Мой комментарий/вопрос,Комментарий руководителя
Авторизация в приложении/Выход из приложения,,,,,,,,,,,
1A,"Авторизация в приложении ""Мобильный хоспис""",Вход в приложение раннее зарегестрированного пользователя с помощью логина и пароля,Высокий,"Открыта страница авторизации приложения  ""Мобильный хоспис"" : Authorization
Открыта страница авторизации приложения  ""Мобильный хоспис"" : Authorization","- Заполнить поле логин
- Заполнить поле пароль
- Кликнуть ok","-  Поле логин принимает значение
- Поле пароль принимает значение
- Происходит переход на главную страницу приложения","- Происходит переход на главную страницу приложения
- Поле пароль принимает значение
- Происходит переход на главную страницу приложения",да,Покрыт ручным тестом. Может быть автоматизирован,,
1B,Выход из приложения,Выход из приложения раннее зарегестрированного пользователя,Высокий,"- Пользователь авторизован в приложении
- на главном экране открыта любая странмца, ни которой есть верхняя панель управления
- Видна верхняя панель приложения
- Отображается значок входа/выхода из приложения (иконка с человечком)

","- Кликнуть на кнопку входа/выхода из приложения
- Появляется выпадающая панель с надписью Log out
- Кликнуть Log out ","- Появилась выпадающая панель с надписью Log out
- Произошел выход из приложения","- Появилась выпадающая панель с надписью Log out
- Произошел выход из приложения",да,Покрыт ручным тестом. Может быть автоматизирован,,
Переход со страницы Main на страницу News,,,,,,,,,,,
1-M-1,Переход на страницу News c главной страницы приложения Main,Пользователь может  передти к списку новостей. Весь список и содержимое списка отображаются корректно.,Высокий,"1. Пользователь авторизован в приложении. 
2. Приложение открыто на главном экране. 
3. В системе есть хотя бы одна новость",- На главном экране приложения кликнуть кнопку ALL NEWS,"- Открылась страница News
- В основной области страницы отображаются карточки  с заголовками и датами новостей","- Открылась страница News
- В основной области страницы отображаются карточки  с заголовками и датами новостей",да,Покрыт ручным тестом. Может быть автоматизирован,,
MN (Main News) Чтение новостей на странице Main,,,,,,,,,,,
1-MN-1,Просмотр первой новости на странице Main через выпадающий список,Кликнуть по первой (сверху) карточке с заголовкрм  новости - открывается выбранная новость в режиме для чтения. Весь текст и содержимое новости отображаются корректно.,Высокий,"- Пользователь авторизован в приложении. 
- Приложение открыто на главном экране.
- Открыта страница Main  
- Открыт список последних новостей.
- В системе есть хотя бы одна новость
",1. Кликнуть по первой (сверху) карточке с заголовком новости,1. Открылся текст новости для чтени,1 Открылся текст новости для чтени,да,Покрыт ручным тестом. Может быть автоматизирован,,
1-MN-2,Просмотр последней (сверху) новости на странице Main через выпадающий список,Кликнуть по последней (сверху) карточке с заголовком  новости - открывается выбранная новость в режиме для чтения. Весь текст и содержимое новости отображаются корректно.,Высокий,"- Пользователь авторизован в приложении. 
- Приложение открыто на главном экране.
- Открыта страница Main 
- Открыт список последних новостей.
- В системе есть хотя бы две новости",1.  Кликнуть по последней (сверху) карточке с заголовком новости,1. Открылся текст новости для чтения,1. Открылся текст новости для чтения,да,Покрыт ручным тестом. Может быть автоматизирован,,
1-MN-3,Закрытие текста первой (сверху) новости на странице Main после просмотра,Кликнуть по первой (сверху) карточке с текстом  новости - текст новости сворачивается,Средний,"- Пользователь авторизован в приложении. 
-  Приложение открыто на главном экране.
-  Открыта страница Main  
-  Открыт список последних новостей
- Открыт текст первой (сверху) новости
-  В системе есть хотя бы одна новость",1. Кликнуть по отрытой карточке с текстом новости,"1. Текст новости закрылся, отображается панель с заголовком новости","1. Текст новости закрылся, отображается панель с заголовком новост",да,Покрыт ручным тестом. Может быть автоматизирован,,
1-MN-4,Закрытие текста последней (сверху) новости на странице Main после просмотра,Кликнуть по последней (сверху) карточке с текстом  новости - текст новости сворачивается,Средний,"-  Пользователь авторизован в приложении. 
-  Приложение открыто на главном экране.
-  Открыта страница Main 
-  Открыт список последних новостей
- Открыт текст последней (сверху) новости
-  В системе есть хотя бы две новости
",1. Кликнуть по отрытой карточке с текстом новости,"1. Текст новости закрылся, отображается панель с заголовком новост","1. Текст новости закрылся, отображается панель с заголовком новост",да,Покрыт ручным тестом. Может быть автоматизирован,,
Страница News,,,,,,,,,,,
1-NN-1,"Переход на страницу News через верхнюю панель, иконку с тремя полосками",Один из способов перехода на страницу News,Высокий,"-  Пользователь авторизован в приложении. 
-  Приложение открыто на главном экране.
-  Открыта страница Main 
","- В верхней панели приложения кликнуть по иконке с тремя полосками
- В раскрывшемся меню выбрать пункт News","- в основной области экрана отображается страница News
- в верхне части страницы News отображается название страницы (News) и панель управления с кнопками сортировки, фильтрации, создания/редактирования новостей
- в основной области страницы отображаются карточки  с заголовками и датами новостей","- в основной области экрана отображается страница News
- в верхне части страницы News отображается название страницы (News) и панель управления с кнопками сортировки, фильтрации, создания/редактирования новостей
- в основной области страницы отобража.тся карточки  с заголовками и датами новостей",да,Покрыт ручным тестом. Может быть автоматизирован,,
1-NN-2,"Переход на страницу News со страницы Main, через кнопку ALL NEWS",Один из способов перехода на страницу News,Высокий,"-  Пользователь авторизован в приложении. 
-  Приложение открыто на главном экране.
-  Открыта страница Main 
- Раскрыт выпадающий список c заголовками и датами новостей панели News
- видна кнопка ALL NEWS
",- Кликнуть кнопку с надписью ALL NEWS в основной области экрана,"- в основной области экрана отображается страница News
- в верхне части страницы News отображается название страницы (News) и панель управления с кнопками сортировки, фильтрации, создания/редактирования новостей
- в основной области страницы отобража.тся карточки  с заголовками и датами новостей","- в основной области экрана отображается страница News
- в верхне части страницы News отображается название страницы (News) и панель управления с кнопками сортировки, фильтрации, создания/редактирования новостей
- в основной области страницы отобража.тся карточки  с заголовками и датами новостей",да,Покрыт ручным тестом. Может быть автоматизирован,,
2-NNR (News News Read) Чтение новостей на странице News,,,,,,,,,,,
2-NNR-1,Чтение первой(сверху) новости из списка на странице News,Пользователь может читать выбранную новость,Высокий,"- Пользователь авторизован в приложении
- Приложение открыто на странице News
- На странице есть хотябы одна карточка с новостями
",1. Кликнуть по первой (сверху) карточке с заголовком новости,1. Открылся текст новости для чтения,1. Открылся текст новости для чтения,да,Покрыт ручным тестом. Может быть автоматизирован,,
2-NNR-2,Чтение второй(сверху) новости из списка на странице News,Пользователь может читать выбранную новость,Высокий,"- Пользователь авторизован в приложении
- Приложение открыто на странице News
-  На странице есть хотябы две карточки с новостями
",1. Кликнуть по второй (сверху) карточке с заголовком новости,1. Открылся текст новости для чтения,1. Открылся текст новости для чтения,да,Покрыт ручным тестом. Может быть автоматизирован,,
2-NNR-3,Чтение последней (сверху) новости из списка на странице News,Пользователь может читать выбранную новость,Высокий,"- Пользователь авторизован в приложении
- Приложение открыто на странице News
-  На странице есть хотябы две карточки с новостями
",1. Кликнуть по последней (сверху) карточке с заголовком новости,1. Открылся текст новости для чтения,1. Открылся текст новости для чтения,да,Покрыт ручным тестом. Может быть автоматизирован,,
2-NNR-4,Чтение предпоследней (сверху) новости из списка на странице News,Пользователь может читать выбранную новость,Высокий,"- Пользователь авторизован в приложении
- Приложение открыто на странице News
-  На странице есть хотябы две карточки с новостями
",1. Кликнуть по предпоследней (сверху) карточке с заголовком новости,1. Открылся текст новости для чтения,1. Открылся текст новости для чтения,да,Покрыт ручным тестом. Может быть автоматизирован,,
3-NNS (News News Sort) Сортировка новостей на странице News,,,,,,,,,,,
3-NNS-1,Работа кнопки сортировки при наличае двух и более новостей с разными датами,"Сортировка новостей может идти от более поздней даты создания к более ранней и наоборот - от более ранней к более поздней
",Высокий,"- Полльзователь авторизован в приложении
- Открыта страница News на основном экране
- Видна панель управления страницы News
- Новости расположены от более новых (по дате создания) к более старым (по дате создания)
","1. Кликнуть по кнопке сортировки новостей (стрелки вверх/вниз)  в панели управления страницы News
2. Повторно кликнуть по кнопке сортировки новостей (стрелки вверх/вниз)  в панели управления страницы News","1. Новости расположены от более старых (по дате создания) к более новым (по дате создания)
2. Новости расположены от более новых (по дате создания) к более старым (по дате создания)","1. Новости расположены от более старых (по дате создания) к более новым (по дате создания)
2. Новости расположены от более новых (по дате создания) к более старым (по дате создания)",да,Покрыт ручным тестом. Может быть автоматизирован,,
4-NNF (News News Filter) Фильтрация новостей на странице News,,,,,,,,,,,
4-NNF-1,Переход на страницу фильтрации новостей Filter news из панели управления страницы News,,\Высокий,"- Полльзователь авторизован в приложении
- Открыта страница News на основном экране
- Видна панель управления страницы News","1. Кликнуть по кнопке фильтрации новостей в панели управления страницы News (три горизонтальные полоски с кружками)
","1. Открывается страница Filter news. Отображаеттся панель Category, поле выбора начальной даты, поле выбора конечной даты, кнопка FILTER, кнопка Cancel ","1. Открывается страница Filter news. Отображаеттся панель Category, поле выбора начальной даты, поле выбора конечной даты, кнопка FILTER, кнопка Cancel",да,Покрыт ручным тестом. Может быть автоматизирован,,
4-NNF-2,Фильтрация новостей по категории без выбора дат,"Выбор новостей для фильтрации из категорий Объявление, День рождения, Зарплата, Профсоюз, Праздник, Массаж, Благодарность, Нужна помощь",Высокий,"- Полльзователь авторизован в приложении
- Открыта фильтрация новостей  Filter news со траницы News на основном экране
- Отображается поле Category, поле выбора начальной даты, поле выбора конечной даты, кнопка FILTER, кнопка Cancel 
","1. Кликнуть по полю Category
2. В раскрывшемся списке выбрать одну из категорий (пусть это будет Праздник)
3. Поле начальной даты оставитm пустым
4. Поле конечной даты оставить пустым
5. Кликнуть по кнопке FILTER","1. Отображается список новстей выбранной категории (например Праздник), если есть новости в выбранной категории. Если новостей в выбранной категории нет, появляется сообщение: There is nothing here yet... и кнопка REFRESH","1. Отображается список новстей выбранной категории (например Праздник), если есть новости в выбранной категории. Если новостей в выбранной категории нет, появляется сообщение: There is nothing here yet... и кнопка REFRESH",да,Покрыт ручным тестом. Может быть автоматизирован,,
5-NNС (News News Creating) Создание новостей на странице News,,,,,,,,,,,
